Time (sec),Pressure (psia),Thrust (lbf),Mass Flowrate
104.5,442.597,1819917.30,6814.14 
105,438.185,1802230.00,6726.79 
105.5,434.261,1786995.90,6648.94 
106,430.679,1773031.30,6577.78 
106.5,427.662,1760966.50,6514.02 
107,425.538,1752392.50,6463.45 
107.5,423.813,1745827.30,6436.67 
108,421.285,1736494.50,6400.79 
108.5,416.952,1719276.80,6337.93 
109,410.457,1691630.80,6238.29 
109.5,401.694,1653944.30,6102.17 
110,390.598,1607279.90,5932.78 
110.5,377.281,1550897.80,5733.40 
111,360.997,1481543.60,5489.35 
111.5,340.102,1395192.80,5175.24 
112,314.532,1289476.80,4784.38 
112.5,285.902,1168956.90,4347.85 
113,255.898,1044908.70,3890.03 
113.5,227.487,916845.90,3454.49 
114,203.333,811284.90,3084.42 
114.5,183.127,723534.50,2776.31 
115,165.716,647557.40,2512.77 
115.5,149.977,579755.90,2274.91 
116,135.105,518301.40,2048.65 
116.5,120.877,462425.50,1831.48 
117,107.675,411787.60,1632.20 
117.5,95.928,366021.70,1456.61 
118,84.927,323206.50,1290.01 
118.1,82.626,314448.10,1254.83 
118.2,80.325,305691.60,1219.76 
118.3,78.04,296994.70,1184.88 
118.4,75.785,288412.70,1150.50 
118.5,73.572,279990.30,1116.82 
118.6,71.407,271753.10,1083.84 
118.7,69.291,263700.50,1051.76 
118.8,67.218,255808.80,1020.18 
118.9,65.179,248048.60,989.30 
119,63.169,240400.60,958.82 
119.1,61.187,232859.60,928.73 
119.2,59.236,225431.40,899.25 
119.3,57.317,218129.50,870.17 
119.4,55.436,210971.30,841.79 
119.5,53.598,203975.00,814.00 
119.6,51.806,197156.10,786.92 
119.7,50.064,190525.80,760.74 
119.8,48.373,184091.10,735.35 
119.9,46.734,177855.10,710.77 
120,45.148,171817.80,686.98 
120.1,43.613,165976.50,664.10 
120.2,42.128,160326.50,641.91 
120.3,40.692,154861.40,620.62 
120.4,39.303,149573.70,599.93 
120.5,37.958,144455.60,580.05 
120.6,36.656,139499.20,560.86 
120.7,35.394,134697.20,542.27 
120.8,34.171,130043.50,524.28 
120.9,32.986,125533.20,506.89 
121,31.837,121162.60,490.10 
121.1,30.725,116929.00,473.91 
121.2,29.648,112830.60,458.32 
121.3,28.606,108866.10,443.23 
121.4,27.599,105034.50,428.64 
121.5,26.627,101335.10,414.75 
121.6,25.69,97767.10,401.26 
121.7,24.786,94329.30,388.46 
121.8,23.917,91020.40,376.07 
121.9,23.081,87838.10,364.28 
122,22.277,84779.40,352.98 
122.1,21.505,81840.30,341.09 
122.2,20.762,79015.20,329.30 
122.3,20.048,76298.00,318.01 
122.4,19.361,73681.30,307.11 
122.5,18.698,71157.30,296.52 
122.6,18.057,68718.00,286.43 
122.7,17.436,66355.10,276.53 
122.8,16.833,64060.70,267.04 
122.9,16.246,61827.50,257.74 
123,15.674,59648.70,248.65 
123.1,15.114,57518.70,239.75 
123.2,14.566,55433.10,231.16 
123.3,14.029,53389.00,222.66 
123.4,13.502,51384.90,214.27 
123.5,12.986,49420.60,206.17 
123.6,12.481,47496.80,198.18 
123.7,11.986,45615.00,190.38 
123.8,11.503,43777.30,182.69 
123.9,11.032,41986.00,175.29 
124,10.575,40243.90,168.00 
124.1,10.131,38553.50,161.00 
124.2,9.7,36916.90,154.21 
124.3,9.285,35336.10,147.61 
124.4,8.885,33812.20,141.31 
124.5,8.499,32346.30,135.22 
124.6,8.13,30938.60,129.32 
124.7,7.775,29589.20,123.72 
124.8,7.436,28297.80,118.33 
124.9,7.111,27063.70,113.23 
125,6.802,25886.00,108.33 
125.1,6.507,24763.40,103.64 
125.2,6.226,23694.40,99.14 
125.3,5.959,22677.40,94.84 
125.4,5.705,21710.70,90.85 
125.5,5.464,20792.40,86.95 
125.6,5.234,19920.30,83.25 
125.7,5.017,19092.50,79.75 
125.8,4.81,18306.80,76.35 
125.9,4.614,17561.20,73.16 
126,4.429,16853.70,70.06 
126.1,4.252,16182.30,67.46 
126.2,4.085,15545.00,64.96 
126.3,3.926,14940.10,62.56 
126.4,3.775,14365.60,60.36 
126.5,3.631,13820.00,58.26 
126.6,3.495,13301.40,56.37 
126.7,3.366,12808.30,54.47 
126.8,3.242,12339.10,52.77 
126.9,3.125,11892.30,51.17 
127,3.013,11466.60,49.77 
127.1,2.906,11060.60,48.37 
127.2,2.804,10672.90,47.17 
127.3,2.707,10302.40,45.97 
127.4,2.614,9948.00,44.97 
127.5,2.525,9608.50,43.97 
127.6,2.439,9283.10,43.07 
127.7,2.357,8970.70,42.37 
127.8,2.278,8670.60,41.68 
127.9,2.203,8382.00,41.08 
128,2.13,8104.30,40.58 
128.1,2.059,7836.80,40.18 
128.186,2.001,7614.10,39.88 
